LAMMPS data file via write_data, version 11 Aug 2017, timestep = 0

8000 atoms
1 atom types

0.0000000000000000e+00 6.2100344955673798e+01 xlo xhi
0.0000000000000000e+00 6.2100344955673798e+01 ylo yhi
0.0000000000000000e+00 6.2100344955673798e+01 zlo zhi

Masses

1 18.0153

Atoms # atomic

6618 1 2.0260272592359048e+00 1.9021509653779591e+00 1.8476870023248675e+00 1 0 1
3184 1 5.5697967423564236e+00 2.8343536200689949e+00 3.1484665996839650e-01 2 1 3
5194 1 4.8435568460862823e+00 1.0213404722160118e+00 2.7613198871919975e+00 1 -4 2
2675 1 9.3169954022698818e+00 3.1847408279818139e+00 2.8136480111746365e+00 0 1 1
1466 1 8.4310115053821786e+00 3.3631453538906131e+00 1.5266138910341553e-01 -1 0 -1
5020 1 1.5424808730136007e+01 4.7588236295436570e-01 3.8429152401024086e-01 -1 6 2
1393 1 1.8188631264621105e+01 4.0993219628937694e-01 1.4875511966543822e+00 -3 -2 2
1265 1 1.8850282744109098e+01 3.3046658716374315e+00 1.5422483200395647e+00 -1 -1 2
4607 1 2.3820730292982908e+01 1.3154639615471302e+00 2.5358988075014999e+00 0 4 2
5516 1 2.2593713108246533e+01 2.7662031093255162e+00 5.1760700688015959e-01 -2 -3 -1
3178 1 2.5396971208445699e+01 1.4940001528901448e-01 7.4495812269751061e-01 -2 -1 1
6527 1 2.8802832838315691e+01 2.9766382002477880e+00 2.8828679414228104e+00 -1 3 -2
7454 1 2.8016064261603880e+01 1.4432299913615365e+00 4.5408117097040157e-01 2 -2 1
3816 1 1.5622274354905636e+00 5.7682340961580447e+00 1.3293226994710061e+00 2 3 0
1490 1 5.3188406049160326e+00 5.2687270078533697e+00 2.1277019791732212e+00 2 1 -2
7382 1 7.2459307941061040e+00 6.7265776524062142e+00 2.6813633416409504e+00 3 3 1
493 1 1.3640540038845966e+01 4.2752101819822856e+00 1.6045801227110734e+00 -1 2 0
5064 1 1.1180504452643515e+01 4.9713478661443675e+00 2.7700746733189074e+00 4 1 1
1199 1 1.4968054956005899e+01 6.6652225937707499e+00 2.7803969457879791e+00 1 2 -1
2332 1 1.6517973861157142e+01 4.9110822292065262e+00 1.8801749105247595e-01 0 0 0
3991 1 1.9718878534190235e+01 6.8595823546145303e+00 2.2647786127488883e+00 1 2 1
3410 1 2.1618794345690464e+01 5.2103065925708671e+00 1.9379452358771343e+00 -1 1 1
1607 1 2.6571478440073285e+01 5.2717685573058288e+00 1.4595578809704632e+00 -3 4 3
6044 1 3.0561206553085878e+01 5.0633593123333771e+00 2.1238568331726975e+00 0 -3 3
7513 1 2.4811279975371070e+00 9.1488837492143169e+00 1.5906993902756279e+00 1 2 1
3474 1 6.5634787912536661e+00 9.8231065676824851e+00 3.1574228373582001e+00 2 -2 0
7505 1 1.0052885703881319e+01 7.0333029782630963e+00 1.4935638767164736e+00 1 -2 3
4965 1 1.1664087519506754e+01 9.2478798445261710e+00 9.7432221323738599e-01 1 0 2
6615 1 1.4099038526242172e+01 8.7577118772300366e+00 6.3504230375763016e-01 0 1 0
2840 1 1.6549942323394468e+01 9.8308457171311012e+00 1.6225028869141376e+00 2 0 1
7296 1 1.9851797901267869e+01 9.5534991080473741e+00 3.0308728214563319e+00 1 -2 0
4932 1 2.2093144566732569e+01 8.9430879995210244e+00 1.3516587572334296e-01 -1 2 2
2831 1 2.2856951102742727e+01 9.6779111341105004e+00 2.8838908288446841e+00 1 1 -1
7912 1 2.5571210063376341e+01 8.4575674141423214e+00 1.6642525313601371e+00 2 3 4
3579 1 2.9493236624494010e+01 8.6119079489134620e+00 1.5082908552310257e+00 -4 1 0
4390 1 3.5049937765947368e+00 1.3475328195637619e+01 2.8772656413920599e+00 3 0 1
6208 1 4.5294841776513790e+00 1.1155566250226013e+01 1.6030457212951699e+00 -1 -2 1
2618 1 7.7675113298510441e+00 1.1096582319131304e+01 2.0845621703152611e-01 0 3 -1
170 1 1.0596353859869353e+01 1.1925516530666783e+01 2.1229175177481570e+00 0 -1 0
